date,pop,isPartial
2019-02-12,2,False
2019-02-13,1,False
2019-02-14,8,False
2019-02-15,12,False
2019-02-16,5,False
2019-02-17,3,False
2019-02-18,4,False
2019-02-19,5,False
2019-02-20,25,False
2019-02-21,54,False
2019-02-22,30,False
2019-02-23,18,False
2019-02-24,14,False
2019-02-25,9,False
2019-02-26,13,False
2019-02-27,8,False
2019-02-28,6,False
2019-03-01,5,False
2019-03-02,4,False
2019-03-03,6,False
2019-03-04,4,False
2019-03-05,3,False
2019-03-06,2,False
2019-03-07,5,False
2019-03-08,4,False
2019-03-09,5,False
2019-03-10,4,False
2019-03-11,3,False
2019-03-12,4,False
2019-03-13,3,False
2019-03-14,4,False
2019-03-15,2,False
2019-03-16,3,False
2019-03-17,3,False
2019-03-18,3,False
2019-03-19,3,False
2019-03-20,3,False
2019-03-21,8,False
2019-03-22,5,False
2019-03-23,5,False
2019-03-24,3,False
2019-03-25,4,False
2019-03-26,4,False
2019-03-27,2,False
2019-03-28,3,False
2019-03-29,2,False
2019-03-30,1,False
2019-03-31,2,False
2019-04-01,1,False
2019-04-02,1,False
2019-04-03,3,False
2019-04-04,3,False
2019-04-05,2,False
2019-04-06,4,False
2019-04-07,3,False
2019-04-08,3,False
2019-04-09,2,False
2019-04-10,3,False
2019-04-11,3,False
2019-04-12,2,False
2019-04-13,1,False
2019-04-14,3,False
2019-04-15,3,False
2019-04-16,3,False
2019-04-17,3,False
2019-04-18,3,False
2019-04-19,2,False
2019-04-20,4,False
2019-04-21,1,False
2019-04-22,3,False
2019-04-23,3,False
2019-04-24,12,False
2019-04-25,10,False
2019-04-26,7,False
2019-04-27,5,False
2019-04-28,4,False
2019-04-29,5,False
2019-04-30,3,False
2019-05-01,5,False
2019-05-02,4,False
2019-05-03,4,False
2019-05-04,2,False
2019-05-05,3,False
2019-05-06,3,False
2019-05-07,3,False
2019-05-08,4,False
2019-05-09,4,False
2019-05-10,4,False
2019-05-11,3,False
2019-05-12,4,False
2019-05-13,2,False
2019-05-14,4,False
2019-05-15,4,False
2019-05-16,3,False
2019-05-17,4,False
2019-05-18,5,False
2019-05-19,4,False
2019-05-20,3,False
2019-05-21,7,False
2019-05-22,7,False
2019-05-23,4,False
2019-05-24,4,False
2019-05-25,5,False
2019-05-26,9,False
2019-05-27,7,False
2019-05-28,5,False
2019-05-29,4,False
2019-05-30,6,False
2019-05-31,6,False
2019-06-01,3,False
2019-06-02,2,False
2019-06-03,3,False
2019-06-04,5,False
2019-06-05,4,False
2019-06-06,6,False
2019-06-07,4,False
2019-06-08,4,False
2019-06-09,4,False
2019-06-10,5,False
2019-06-11,6,False
2019-06-12,5,False
2019-06-13,11,False
2019-06-14,14,False
2019-06-15,9,False
2019-06-16,7,False
2019-06-17,6,False
2019-06-18,6,False
2019-06-19,4,False
2019-06-20,5,False
2019-06-21,4,False
2019-06-22,3,False
2019-06-23,7,False
2019-06-24,5,False
2019-06-25,4,False
2019-06-26,3,False
2019-06-27,3,False
2019-06-28,2,False
2019-06-29,3,False
2019-06-30,3,False
2019-07-01,2,False
2019-07-02,4,False
2019-07-03,4,False
2019-07-04,8,False
2019-07-05,24,False
2019-07-06,9,False
2019-07-07,6,False
2019-07-08,6,False
2019-07-09,12,False
2019-07-10,29,False
2019-07-11,100,False
2019-07-12,74,False
2019-07-13,48,False
2019-07-14,24,False
2019-07-15,25,False
2019-07-16,23,False
2019-07-17,17,False
2019-07-18,15,False
2019-07-19,12,False
2019-07-20,9,False
2019-07-21,5,False
2019-07-22,4,False
2019-07-23,4,False
2019-07-24,4,False
2019-07-25,3,False
2019-07-26,5,False
2019-07-27,3,False
2019-07-28,6,False
2019-07-29,3,False
2019-07-30,3,False
2019-07-31,4,False
2019-08-01,2,False
2019-08-02,2,False
2019-08-03,3,False
2019-08-04,2,False
2019-08-05,3,False
2019-08-06,4,False
2019-08-07,12,False
2019-08-08,15,False
2019-08-09,6,False
