date,pop_apelido,pop_nome_formal,isPartial
2019-02-12,2,0,False
2019-02-13,0,0,False
2019-02-14,9,0,False
2019-02-15,13,0,False
2019-02-16,6,0,False
2019-02-17,3,0,False
2019-02-18,5,0,False
2019-02-19,5,0,False
2019-02-20,24,1,False
2019-02-21,58,0,False
2019-02-22,28,2,False
2019-02-23,18,1,False
2019-02-24,16,1,False
2019-02-25,10,1,False
2019-02-26,13,0,False
2019-02-27,7,1,False
2019-02-28,6,2,False
2019-03-01,5,0,False
2019-03-02,6,0,False
2019-03-03,5,0,False
2019-03-04,5,0,False
2019-03-05,3,0,False
2019-03-06,3,1,False
2019-03-07,5,1,False
2019-03-08,4,1,False
2019-03-09,5,0,False
2019-03-10,4,0,False
2019-03-11,3,1,False
2019-03-12,5,1,False
2019-03-13,4,0,False
2019-03-14,4,1,False
2019-03-15,2,1,False
2019-03-16,3,1,False
2019-03-17,4,1,False
2019-03-18,2,1,False
2019-03-19,2,1,False
2019-03-20,4,1,False
2019-03-21,8,1,False
2019-03-22,6,2,False
2019-03-23,4,0,False
2019-03-24,3,1,False
2019-03-25,5,1,False
2019-03-26,4,1,False
2019-03-27,3,2,False
2019-03-28,4,0,False
2019-03-29,2,1,False
2019-03-30,2,1,False
2019-03-31,2,0,False
2019-04-01,2,1,False
2019-04-02,1,0,False
2019-04-03,3,1,False
2019-04-04,3,1,False
2019-04-05,3,2,False
2019-04-06,4,1,False
2019-04-07,3,1,False
2019-04-08,4,1,False
2019-04-09,2,1,False
2019-04-10,2,1,False
2019-04-11,2,2,False
2019-04-12,3,1,False
2019-04-13,1,1,False
2019-04-14,3,0,False
2019-04-15,2,1,False
2019-04-16,3,1,False
2019-04-17,3,1,False
2019-04-18,3,1,False
2019-04-19,3,1,False
2019-04-20,4,0,False
2019-04-21,1,0,False
2019-04-22,3,1,False
2019-04-23,4,1,False
2019-04-24,15,1,False
2019-04-25,11,2,False
2019-04-26,8,1,False
2019-04-27,6,0,False
2019-04-28,5,0,False
2019-04-29,5,0,False
2019-04-30,3,1,False
2019-05-01,6,1,False
2019-05-02,3,1,False
2019-05-03,4,0,False
2019-05-04,3,1,False
2019-05-05,4,1,False
2019-05-06,3,1,False
2019-05-07,3,2,False
2019-05-08,3,2,False
2019-05-09,3,1,False
2019-05-10,3,1,False
2019-05-11,2,1,False
2019-05-12,4,1,False
2019-05-13,2,1,False
2019-05-14,4,1,False
2019-05-15,5,2,False
2019-05-16,3,1,False
2019-05-17,4,1,False
2019-05-18,6,0,False
2019-05-19,4,1,False
2019-05-20,3,0,False
2019-05-21,7,1,False
2019-05-22,7,1,False
2019-05-23,5,1,False
2019-05-24,4,1,False
2019-05-25,6,1,False
2019-05-26,10,2,False
2019-05-27,7,2,False
2019-05-28,5,1,False
2019-05-29,4,1,False
2019-05-30,6,1,False
2019-05-31,7,1,False
2019-06-01,3,1,False
2019-06-02,2,1,False
2019-06-03,2,1,False
2019-06-04,6,1,False
2019-06-05,4,2,False
2019-06-06,6,1,False
2019-06-07,3,1,False
2019-06-08,4,1,False
2019-06-09,4,0,False
2019-06-10,5,2,False
2019-06-11,6,1,False
2019-06-12,6,0,False
2019-06-13,9,2,False
2019-06-14,14,1,False
2019-06-15,8,1,False
2019-06-16,8,1,False
2019-06-17,8,2,False
2019-06-18,7,0,False
2019-06-19,3,0,False
2019-06-20,6,0,False
2019-06-21,5,1,False
2019-06-22,3,0,False
2019-06-23,6,1,False
2019-06-24,5,1,False
2019-06-25,5,0,False
2019-06-26,3,0,False
2019-06-27,3,1,False
2019-06-28,3,1,False
2019-06-29,3,1,False
2019-06-30,3,0,False
2019-07-01,2,0,False
2019-07-02,4,1,False
2019-07-03,5,1,False
2019-07-04,9,1,False
2019-07-05,26,2,False
2019-07-06,8,1,False
2019-07-07,6,0,False
2019-07-08,7,1,False
2019-07-09,12,1,False
2019-07-10,31,3,False
2019-07-11,100,3,False
2019-07-12,77,2,False
2019-07-13,50,1,False
2019-07-14,22,1,False
2019-07-15,26,0,False
2019-07-16,26,0,False
2019-07-17,16,1,False
2019-07-18,17,1,False
2019-07-19,13,2,False
2019-07-20,10,1,False
2019-07-21,5,0,False
2019-07-22,5,1,False
2019-07-23,3,0,False
2019-07-24,4,0,False
2019-07-25,4,1,False
2019-07-26,4,1,False
2019-07-27,3,1,False
2019-07-28,8,1,False
2019-07-29,3,1,False
2019-07-30,2,0,False
2019-07-31,3,0,False
2019-08-01,2,0,False
2019-08-02,3,1,False
2019-08-03,3,1,False
2019-08-04,2,1,False
2019-08-05,2,1,False
2019-08-06,3,0,False
2019-08-07,11,1,False
2019-08-08,15,0,False
2019-08-09,6,2,False
