favorite_count,retweet_count,processed_text,week,id_leggo,id_ext,casa
17,3,o assunto do momento e reforma tributaria. entao amigos nao percam hoje a noite @majorolimpio e @marcoscintra papo reto com major olimpio. https://t.co/paudroyrzu,2020-03-15,60,2196833,camara
0,0,"minha contribuicao acerca da reforma tributaria que o brasil precisa. 

#marceloramos #odeputadodoamazonas #reformatributaria #brasil https://t.co/kvros08rvd",2020-03-15,60,2196833,camara
202,80,"defender o fundeb permanente e fortalecer recursos para a educacao, especialmente, para os estados mais pobres. enfraquecer o fundeb ocasionaria uma grave situacao para o financiamento da educacao.",2020-03-15,54,1198512,camara
202,80,"defender o fundeb permanente e fortalecer recursos para a educacao, especialmente, para os estados mais pobres. enfraquecer o fundeb ocasionaria uma grave situacao para o financiamento da educacao.",2020-03-15,53,129778,senado
2,1,"como presidente da comissao mista da reforma tributaria, informo que esta suspensa a audiencia publica, que ocorreria nesta terca-feira (17), com a presenca do ministro da economia paulo guedes. uma outra data sera agendada.",2020-03-15,60,2196833,camara
9,6,"o fundeb e composto por 26 fundos estaduais e um fundo do distrito federal, e recebe complementacao da uniao. hoje, lutamos para aprovar um novo texto, que possa garantir a continuidade da arrecadacao e distribuicao desses recursos para o financiamento da educacao brasileira. https://t.co/1eztuhfefo",2020-03-08,54,1198512,camara
9,6,"o fundeb e composto por 26 fundos estaduais e um fundo do distrito federal, e recebe complementacao da uniao. hoje, lutamos para aprovar um novo texto, que possa garantir a continuidade da arrecadacao e distribuicao desses recursos para o financiamento da educacao brasileira. https://t.co/1eztuhfefo",2020-03-08,53,129778,senado
3,2,"o fundeb representa hoje, a maior parte dos investimentos em educacao basica, e sem a sua continuidade, a nossa educacao pode estar seriamente comprometida.
#eudefendoofundeb #emdefesadofundeb #novofundeb https://t.co/sq6olafawl",2020-03-08,54,1198512,camara
3,2,"o fundeb representa hoje, a maior parte dos investimentos em educacao basica, e sem a sua continuidade, a nossa educacao pode estar seriamente comprometida.
#eudefendoofundeb #emdefesadofundeb #novofundeb https://t.co/sq6olafawl",2020-03-08,53,129778,senado
13,0,"#bonsventos: o congresso esta trabalhando muito. e uma das legislaturas mais produtivas dos ultimos anos. aprovamos a reforma da previdencia e outros importantes projetos. 
e vamos agora comecar a discutir  a reforma tributaria e a reforma administrativa. (@senadofederal)",2020-03-15,60,2196833,camara
7,1,"votei para manter o veto dos 30 bilhoes, a pedido do presidente @jairbolsonaro, e agora defendo que, ou o governo retira esses plns, enviados ao congresso, ou aceleramos e votamos logo para que a camara e o senado comecem imediatamente a discutir a reforma tributaria.",2020-03-08,60,2196833,camara
4,2,"aproveitamos o almoco do bloco vanguarda para debatermos a reforma tributaria. e importantissimo que haja uma descomplicacao de tantos tributos que recaem sobre o consumidor, bem como a simplificacao para aqueles que querem investir em um negocio proprio e gerar empregos! https://t.co/ryeshz8di9",2020-03-08,60,2196833,camara
15,3,"em entrevista ao jornalista marcello d'angelo, para o programa capital &amp; mercado, analisei o atual cenario politico brasileiro e reafirmei meu compromisso com a aprovacao do novo marco regulatorio para o saneamento basico no pais. assista esta noite, as 21h30, na bandnews. https://t.co/pu1w3j0n8d",2020-03-08,41,135061,senado
40,5,"""como e que alguem que ganha menos de r$ 2 mil tem que pagar imposto de renda? e como se explica quem ganha menos de r$ 5 mil pagar os mesmos 27,5% de imposto de renda de quem ganha r$ 150 mil?"" zenaide defende reforma tributaria justa, em evento da @fenafisco e da @oxfambrasil https://t.co/ltins96jlm",2020-03-08,60,2196833,camara
9,6,"o fundeb e composto por 26 fundos estaduais e um fundo do distrito federal, e recebe complementacao da uniao. hoje, lutamos para aprovar um novo texto, que possa garantir a continuidade da arrecadacao e distribuicao desses recursos para o financiamento da educacao brasileira. https://t.co/1eztuhfefo",2020-03-08,54,1198512,camara
9,6,"o fundeb e composto por 26 fundos estaduais e um fundo do distrito federal, e recebe complementacao da uniao. hoje, lutamos para aprovar um novo texto, que possa garantir a continuidade da arrecadacao e distribuicao desses recursos para o financiamento da educacao brasileira. https://t.co/1eztuhfefo",2020-03-08,53,129778,senado
3,2,"o fundeb representa hoje, a maior parte dos investimentos em educacao basica, e sem a sua continuidade, a nossa educacao pode estar seriamente comprometida.
#eudefendoofundeb #emdefesadofundeb #novofundeb https://t.co/sq6olafawl",2020-03-08,54,1198512,camara
3,2,"o fundeb representa hoje, a maior parte dos investimentos em educacao basica, e sem a sua continuidade, a nossa educacao pode estar seriamente comprometida.
#eudefendoofundeb #emdefesadofundeb #novofundeb https://t.co/sq6olafawl",2020-03-08,53,129778,senado
15,3,"em entrevista ao jornalista marcello d'angelo, para o programa capital &amp; mercado, analisei o atual cenario politico brasileiro e reafirmei meu compromisso com a aprovacao do novo marco regulatorio para o saneamento basico no pais. assista esta noite, as 21h30, na bandnews. https://t.co/pu1w3j0n8d",2020-03-08,41,135061,senado
