id_ext,date,casa,PL das Armas,PL 3723/2019,isPartial,max_pressao_principal,max_pressao_rel,maximo_geral,id_leggo
2209381,2019-09-09,camara,0,0,False,0,0,0,1
2209381,2019-09-16,camara,68,34,False,68,0,68,1
2209381,2019-09-23,camara,61,26,False,61,0,61,1
2209381,2019-09-30,camara,52,28,False,52,0,52,1
2209381,2019-10-07,camara,51,26,False,51,0,51,1
2209381,2019-10-14,camara,31,51,False,51,0,51,1
2209381,2019-10-21,camara,49,25,False,49,0,49,1
2209381,2019-10-28,camara,27,26,False,27,0,27,1
2209381,2019-11-04,camara,100,34,False,100,0,100,1
2209381,2019-11-11,camara,50,25,False,50,0,50,1
2209381,2019-11-18,camara,0,0,False,0,0,0,1
2209381,2019-11-25,camara,24,25,False,25,0,25,1
2209381,2019-12-02,camara,28,27,False,28,0,28,1
2209381,2019-12-09,camara,35,29,False,35,0,35,1
2209381,2019-12-16,camara,0,0,False,0,0,0,1
2209381,2019-12-23,camara,0,31,False,31,0,31,1
2209381,2019-12-30,camara,29,29,False,29,0,29,1
2209381,2020-01-06,camara,0,0,False,0,0,0,1
2209381,2020-01-13,camara,25,0,False,25,0,25,1
2209381,2020-01-20,camara,0,26,False,26,0,26,1
2209381,2020-01-27,camara,0,25,False,25,0,25,1
2209381,2020-02-03,camara,0,0,False,0,0,0,1
2209381,2020-02-10,camara,24,0,False,24,0,24,1
2209381,2020-02-17,camara,0,0,False,0,0,0,1
2209381,2020-02-24,camara,24,0,False,24,0,24,1
2209381,2020-03-02,camara,0,0,False,0,0,0,1
2209381,2020-03-09,camara,0,0,False,0,0,0,1
