id_leggo,sigla,username,text,interactions,date
cbc6c40c38f04d53d014838a413295af,PL 2801/2020,acaciofavacho,"Faço questão de vir a público REPUDIAR a Fake News que anda circulando em redes sociais a respeito da votação do PL 2801/2020, ocorrida ao longo da última semana na Câmara dos Deputados.  A prorrogação do Auxílio Emergencial já foi aprovada por 100% dos Deputados e sancionada!! https://t.co/E9fiecfpZQ",8,2020-07-20
cc265921abc63c5090042f84ecce26fb,PL 735/2020,afonsoflorence,"Aumento da fome, carestia dos alimentos e vetos na PL 735/2020 são temas da Semana Nacional da Alimentação https://t.co/L2qXjrgXxJ",12,2020-10-12
fe7cfbab57365f881a499a0d4d95377f,PEC 26/2020,afonsoflorence,"📢 Hoje a PEC 26/2020 (Fundeb) será votada no senado. Vamos pedir aos senadores que votem SIM ao Fundeb na íntegra, sem destaques ou alterações! Participe agora do tuitaço #AprovaFundebIntegral!",4,2020-08-24
fe7cfbab57365f881a499a0d4d95377f,PEC 26/2020,afonsoflorence,"Hoje a PEC 26/2020 (Fundeb) será votada no senado. Vamos pedir aos senadores que votem SIM ao Fundeb na íntegra, sem destaques ou alterações! Participe agora do tuitaço #AprovaFundeb ! https://t.co/X1SQCZ5DHJ",12,2020-08-17
cc265921abc63c5090042f84ecce26fb,PL 735/2020,afonsoflorence,"No Brasil estamos com alto risco de desabastecimento. Por isso a Agricultura Familiar e Camponesa está toda unida na luta pelo PL 735/2020, por políticas emergenciais para a produção de alimentos! #SenadoAprovaPL735 https://t.co/9QVpWHpCCg",4,2020-08-03
3c2f9f105c5c31e598d6308c701775a8,PL 4162/2020,afonsoflorence,"#VetaBolsonaro #ÁguaÉDireito O PL 4162/2020, que privatiza a água e já aprovado pelo Senado em 24 de junho, está no Palácio do Planalto para ser sancionado ou não pelo presidente.  POR ISSO, NOSSO APELO: #VetaBolsonaro, porque #ÁguaNÃOéMercadoria  #FNU https://t.co/NbA82GpgEP",6,2020-07-06
ccc6a93e95b81740a2f5d56c3d623139,PL 886/2020,afonsoflorence,Vote sim PL 886/2020 Medidas emergenciais para a agricultura familiar nesse período de pandemia.Esse projeto foi construído juntamente com as entidades do campo e das florestas e estamos trabalhando junto com a nossa bancada e oposição para que seja aprovado. #AgriculturaFamiliar https://t.co/TJc9vBv8kG,12,2020-06-15
d8a02979d2829415b1b87a300ce96d86,PL 3261/2019,afonsoflorence,"Estamos, agora, em obstrução, na Comissão Especial do PL 3261/2019 que privatiza a água. Queriam iniciar os trabalhos antes do término da ordem do dia no Plenário, para colocar na pauta a leitura do parecer do relator.",14,2019-10-07
c9127699f9a374ed918550f552928c21,MPV 868/2018,afonsoflorence,"Nós temos que fazer uma grande frente com movimentos sociais, setores da sociedade, governadores, prefeitos contra MP 868/2018. Minha expectativa, com a força que vocês demonstram aqui, nós, e outros estados, da mesma forma, vamos ter condições de derrotar mais uma vez esta MP. https://t.co/x33DpoVduM",12,2019-05-20
c9127699f9a374ed918550f552928c21,MPV 868/2018,afonsoflorence,"Vamos barrar o sucateamento das empresas estaduais de saneamento e a privatização da água! Na próxima segunda-feira (20/05) teremos seminário estadual, às 14h, na Assembleia Legislativa da Bahia, para discutir a MP 868/2018. Participe! https://t.co/mqUbxYCyma",6,2019-05-13
e0c50cfb097ef9953e6b0150f45c2afc,PEC 45/2019,depaguinaldo11,"Concluímos nesta tarde mais uma Audiência Pública da Comissão Especial da PEC 45/2019.  Hoje tratamos da Operacionalização do IBS e o Processo Administrativo Fiscal. Participaram do debate a Abat, a PGFN, o Sindifisco e a Fenafisco. #ReformaTributaria https://t.co/I3d3KP3ezE",2,2019-09-23
e0c50cfb097ef9953e6b0150f45c2afc,PEC 45/2019,depaguinaldo11,"Dando sequência aos debates da Reforma Tributária, nesta terça-feira (24), realizaremos a 6º Audiência Pública da Comissão Especial da PEC 45/2019. Desta vez, receberemos especialistas para discutir a ""Operacionalização do IBS e o Processo Administrativo Fiscal"". https://t.co/LsVD7p5Fqa",0,2019-09-23
e0c50cfb097ef9953e6b0150f45c2afc,PEC 45/2019,depaguinaldo11,"Nesta semana teremos duas sessões de Audiência Pública da Comissão Especial da PEC 45/2019, uma na terça e outra na quarta-feira. Ouviremos as Confederações e Federações de diferentes setores produtivos. A ideia é debater as Repercussões Setoriais da Reforma Tributária. https://t.co/uS6naWWlAb",4,2019-09-16
e0c50cfb097ef9953e6b0150f45c2afc,PEC 45/2019,depaguinaldo11,Começamos a Audiência Pública sobre os impactos econômicos da PEC 45/2019. #ReformaTributaria https://t.co/cbVFq6CYEX,0,2019-09-02
e0c50cfb097ef9953e6b0150f45c2afc,PEC 45/2019,depaguinaldo11,"As discussões da PEC 45/2019 da Reforma Tributária continuam intensas. Hoje nos reunimos para uma Audiência Pública na Comissão Especial e ouvimos os detalhes do texto proposto pelo deputado Baleia Rossi, com base nos estudos do economista Bernard Appy. https://t.co/75KWZfsLfZ",2,2019-08-19
e0c50cfb097ef9953e6b0150f45c2afc,PEC 45/2019,depaguinaldo11,"O projeto da PEC 45/2019 consiste em 3 pilares: transparência, equidade e neutralidade.",0,2019-08-19
e0c50cfb097ef9953e6b0150f45c2afc,PEC 45/2019,depaguinaldo11,"A PEC 45/2019 cria o IBS (Imposto Sobre Bens e Serviços), simplificando o sistema tributário com base ampla. #reformatributaria #trabalhopravaler",0,2019-08-19
e0c50cfb097ef9953e6b0150f45c2afc,PEC 45/2019,depaguinaldo11,Audiência pública de apresentação da PEC 45/2019 pelo deputado @Baleia_Rossi e pelo economista Bernard Appy. #reformatributaria #trabalhopravaler https://t.co/MWr7nadcl8,2,2019-08-19
e0c50cfb097ef9953e6b0150f45c2afc,PEC 45/2019,depaguinaldo11,"No dia 20, teremos a apresentação da PEC 45/2019. Já no dia 27/08, vamos debater as expectativas sobre o impacto da Reforma Tributária. #reformatributaria",0,2019-08-12
fe7cfbab57365f881a499a0d4d95377f,PEC 26/2020,faleiroairton,Alô presidente do senado @davialcolumbre! Pedimos que senadores/as votem o Fundeb - PEC 26/2020 - sem destaques! Vamos valorizar o magistério e aumentar o aporte da União para melhorar a qualidade da educação #AprovaFundeb https://t.co/GJUpDYc3lP,0,2020-07-27
fe7cfbab57365f881a499a0d4d95377f,PEC 15/2015,faleiroairton,"No Congresso, entidades em defesa da educação e alguns parlamentares tentam emplacar a PEC 15/2015, que não só trata da renovação do fundo, como propõe um aumento no percentual de repasses da União de 10% – como é hoje – para 20% #VotaFundeb",2,2020-07-20
cc265921abc63c5090042f84ecce26fb,PL 735/2020,faleiroairton,"#AgriculturaFamiliarProBrasilNãoPassarFome Estudos sobre o possível desabastecimento no próximo período são alarmantes! Vamos mobilizar as redes em defesa do PL Emergencial da Agricultura Familiar, que será votado hoje (25), na Câmara, sob o guarda-chuva do PL 735/2020. https://t.co/neYAlccvTu",6,2020-06-22
1ae708c5fbb1605c0282b043b45ccbec,PL 191/2020,faleiroairton,"A Frente Parlamentar Mista em Defesa dos Direitos dos Povos Indígenas concede coletiva de imprensa, no Salão Verde, referente a entrega das cartas e manifestos contrárias ao PL 191/2020, ao presidente da Câmara Rodrigo Maia. A agenda com Maia está confirmada para às 17 hs! https://t.co/KtX4hLcF1p",30,2020-02-17
1ae708c5fbb1605c0282b043b45ccbec,PL 191/2020,faleiroairton,"Mineraçao em Terras Indígenas: #DevolveMaia Participei nesta tarde da coletiva de imprensa, onde líderes da oposição e lideranças indígenas falaram da decisão de pedir ao presidente da Câmara, @RodrigoMaia ,a devolução do PL 191/2020. Maia nos receberá às 17 horas de hoje, 12/02 https://t.co/ilL8aZqcvl",12,2020-02-10
1ae708c5fbb1605c0282b043b45ccbec,PL 191/2020,faleiroairton,"A apresentação do PL 191/2020, que permite a mineração em Terras Indígenas, faz parte de uma estratégia do governo federal  de abrir as áreas indígenas para a exploração das terras, das águas, dos recursos florestais e minerais em detrimento da vida e cultura dos povos indígenas.",8,2020-02-03
d51d8c078dab1676b4c24b67fc66d4dd,PEC 6/2019,faleiroairton,"A advogada e professora Naiara Moraes afirmou que a PEC 6/2019 é inconstitucional porque viola direitos fundamentais e direitos humanos previstos não apenas na Constituição, mas também em tratados internacionais de que o Brasil é signatário. #SenadoDigaNãoàReforma",16,2019-10-21
f5a9a945227292b83cb390bd0395f48b,MPV 897/2019,alceu_moreira,A leitura e votação da MP 897/2019 deve ocorrer nesta terça no Plenário da @camaradeputados. A MP do Agro irá transformar positivamente todo o setor no Brasil. Contamos com a presença da ministra @TerezaCrisMS na reunião da @fpagropecuaria para abrirmos cada detalhe do texto. https://t.co/rldEkmL4Lw,4,2020-02-10
db6db123fbc8eb6e42ed4accbe9cfb45,PEC 42/2019,alceu_moreira,"Bom dia! Começamos a reunião da diretoria da @fpagropecuaria para tratar da PEC 42/2019, Resolução Normativa n° 482/2012, Lei Kandir, Faixa de Fronteira e Licenciamento Ambiental. Também estamos fazendo um panorama da viagem ao Reino Unido e as perspectivas de mercado. https://t.co/FZG1zTvLih",6,2019-10-28
e0c50cfb097ef9953e6b0150f45c2afc,PEC 45/2019,alceu_moreira,"Recebemos hoje na @fpagropecuaria o deputado federal @Baleia_Rossi, autor da proposta de #ReformaTributária, para debater a PEC 45/2019. Além do deputado, participa o economista e diretor do Centro de Cidadania Fiscal (CiCF), Bernard Appy, que colaborou com o texto. https://t.co/cwwIUwa1Gz",10,2019-05-27
fe7cfbab57365f881a499a0d4d95377f,PEC 26/2020,alencarbraga13,PEC 26/2020 do FUNDEB aprovado em 1º turno no Senado.  Falta pouco para a sociedade impor mais uma derrota ao governo exterminador do futuro que é o governo Bolsonaro!  #AprovaFundebIntegral,6,2020-08-24
ba9b9c25cbb737369245a9b06d6cff42,PL 4162/2019,alencarbraga13,"🚫 #NÃOàPrivatizaçãoDaÁgua 💦  Às 16h de hoje, o Senado Federal tem no escopo a votação do PL 4162/2019 (alteração do Marco Legal do Saneamento Básico). Privatizar serviços de distribuição água potável é desumano, sobretudo na maior crise sanitária do século! #águanãoémercadoria https://t.co/px5TuLu1OV",28,2020-06-22
2327a466f6c0727820eb3c3b39358847,PL 7843/2017,alessandromolon,Pela aprovação do: PL da Eficiência - PL 7843/2017 PL do Mar - PL 6969/2013,8,2020-08-10
e0e28b787b7e0e9475833309d95287a4,PL 6969/2013,alessandromolon,Pela aprovação do: PL da Eficiência - PL 7843/2017 PL do Mar - PL 6969/2013,8,2020-08-10
fa34f5143f8b498936adba9b8e4edf56,PL 687/2020,alessandromolon,"ENFRENTANDO A COVID-19 - PROPOSTA #12  ✅ Proibir o corte de luz, água e gás das pessoas mais pobres por não pagamento. Inclusive, já apresentamos um projeto de lei nesse sentido, o PL 687/2020!",4,2020-03-16
6d2bbca6eb76e7411882054a60839644,PL 18/2019,alessandromolon,Exigimos respostas da Vale para reparar os danos causados. E vamos continuar na luta para avançar com o nosso PL 18/2019 que altera a Lei de Barragens!,14,2019-02-11
cbc6c40c38f04d53d014838a413295af,PL 2801/2020,lexandreleite,"Além do fato de o Desembargador Jus Alienado"" chamar alguém de analfabeto, primeiro por não se tratar de decreto mas de Lei Federal Sancionada(14.019/2020) e segundo a  CF88 estabelece no Art. 5º que: “Todos são iguais perante a lei, sem distinção de qualquer natureza.."",0,0,0,https://twitter.com/lexandreleite/status/1285513651437408256
1285513650069962752,160545,câmara,ALEXANDRE LEITE,DEM,SP,lexandreleite,2020-07-21,Durante a aprovação do PL2801/2020 de minha autoria e de colegas, justifiquei(sem generalizar)que Juízes de 1a instância sem bom senso não nos davam margem para legislar de forma ampla e interpretativa, o problema está no ser humano, não no cargo ou hierarquia. E aí @CNJ_oficial? https://t.co/qMIFfu6Tom",2,2020-07-20
fe7cfbab57365f881a499a0d4d95377f,PEC 26/2020,padilhando,"📢 Hoje a PEC 26/2020 (Fundeb) será votada no senado. Vamos pedir aos senadores que votem SIM ao Fundeb na íntegra, sem destaques ou alterações! Participe agora do tuitaço #AprovaFundeb!",2,2020-08-17
2b2475eac4b0bd50f918639f5bf416af,PL 1462/2020,padilhando,"O exemplo de Trump ter comprado todo o estoque de vacinas de 2 empresas mostrou isso. Por isso temos q aprovar o PL1462/2020 q estabelece q nenhuma empresa terá monopólio de producao e venda da vacina,no Brasil.Ampliando estoques e derrubando o preço",36,2020-07-27
2b2475eac4b0bd50f918639f5bf416af,PL 1462/2020,padilhando,Por isso precisamos aprovar o PL1462/2020 @_makavelijones Vacina e medicamento têm que ser bem público https://t.co/2gfpMqErDD,20,2020-07-20
fe7cfbab57365f881a499a0d4d95377f,PEC 15/2015,padilhando,É fundamental aumentar a pressão para que a PEC 15/2015 seja aprovada e sancionada pelo Congresso Nacional. Em tempos de pandemia é mais urgente ainda garantir os recursos para a educação no país que não consegue controlar a disseminação do novo coronavírus #VotaFundeb,12,2020-07-20
fe7cfbab57365f881a499a0d4d95377f,PEC 15/2015,padilhando,"Até o fim do ano, a PEC 15/2015 (que trata do Fundeb) precisa ser votada em dois turnos na Câmara e em dois turnos no Senado, e precisa de três quintos dos votos dos deputados (308) e dos senadores (49) para ser aprovada. Por isso pedimos urgência na votação! #VotaFundeb",18,2020-07-20
2b2475eac4b0bd50f918639f5bf416af,PL 1462/2020,padilhando,"O PL1462/2020 de autoria de varios parlamentares,liderada por mim, estabelece que qualquer vacina ou medicamento p/COVID19 será bem público,recebendo licença compulsória no Brasil durante a pandemia @foaesp @idec",56,2020-07-13
2b2475eac4b0bd50f918639f5bf416af,PL 1462/2020,padilhando,"Empresa dos EUA anunciou vacina p/COVID19.O que acham?1)Não querem ficar atrás da China,Rússia,UK,Alemanha?2)Venderam ações?3)Quer ser 1ą a ter patente e lucrar como a Gilead(ver sequencia)?Vacina tem q ser bem público!Precisamos aprovar o PL1462/2020",118,2020-07-13
fe7cfbab57365f881a499a0d4d95377f,PEC 15/2015,padilhando,"Para CNTE, é fundamental que a proposta votada seja a PEC 15/2015, sem nenhuma alteração. Mobilização da categoria continua e professores pressionam deputados federais para aprovação da medida. #VotaFundeb https://t.co/9thROLhzvG",38,2020-07-13
2b2475eac4b0bd50f918639f5bf416af,PL 1462/2020,padilhando,"É essencial pautarmos a PL 1462/2020 para tratar de licença compulsória nos casos de emergência nacional decorrentes emergências em saúde pública. Isso possibilita que quando surgir uma vacina, ela seja disponibilzada de forma gratuita. #vacinaparatodos #PL1462 #apoioPL1462",28,2020-06-29
2b2475eac4b0bd50f918639f5bf416af,PL 1462/2020,padilhando,"Muito bem Pres @LulaOficial Por isso apresentamos o PL1462/2020, junto c/entidades da.sociedade civil como o @foaesp p/garantir licença compulsória(ou seja permitindo que lab públicos possam produzir vacinas e medicamentos descobertos). https://t.co/Gs6QQjbgBk",330,2020-06-29
f64829d48f04ec88d3d8cea844844d69,PL 646/2020,alexisfonteyne,A Câmara dos Deputados e o Senado podem dar um grande exemplo. Aprovar a destinação deste recurso para a saúde e economia neste momento difícil faria muita diferença. É a vontade de parlamentares de vários partidos que assinaram o PL 646/2020.,24,2020-03-16
f64829d48f04ec88d3d8cea844844d69,PL 646/2020,alexisfonteyne,Protocolamos hoje o PL 646/2020 que permite a destinação do fundo partidário e eleitoral para combate ao coronavírus. Faz sentido R$3 bilhões para partidos e campanhas eleitorais enquanto vivemos uma epidemia que pode colapsar a saúde pública e milhões perderão sua renda? https://t.co/vJI8PYozW0,132,2020-03-16
e0c50cfb097ef9953e6b0150f45c2afc,PEC 45/2019,alexisfonteyne,A PEC 45/2019 é a proposta que defendemos como sendo a mais viável para a #ReformaTributaria  👇🏼 https://t.co/s4gCnU8tD0,14,2019-09-23
