id_leggo,interesse,nome_interesse,apelido,tema,tema_slug,advocacy_link,keywords,tipo_agenda,descricao_interesse
4f89264b58ac80d3dfe1c7d31549a30c,leggo,RAC,Lei da Qualidade Fiscal,Agenda Nacional,agenda-nacional,NA,NA,NA,-
4cf2d59bceb3ed122af69546476551c9,leggo,RAC,Lei do Teto Remuneratório,Agenda Nacional,agenda-nacional,NA,NA,NA,-
21c535efc8fca9cf39c3a30c61a0a8f8,leggo,RAC,Escola Sem Partido,Agenda Nacional,agenda-nacional,NA,NA,NA,-
0cf79d8b72ab0c346e4a307afafeec60,leggo,RAC,Revogação do Estatuto do Desarmamento,Agenda Nacional,agenda-nacional,NA,NA,NA,-
01e564eea52292a5487c0e39a9c0115b,leggo,RAC,Reforma da Previdência Temer,Agenda Nacional,agenda-nacional,NA,NA,NA,-
eab412eff6e4986bead75a4752e46cc7,leggo,RAC,Revisão do contrato da cessão onerosa da Petrobras,Agenda Nacional,agenda-nacional,NA,NA,NA,-
d51d8c078dab1676b4c24b67fc66d4dd,leggo,RAC,Nova Previdência,Agenda Nacional,agenda-nacional,NA,NA,NA,-
e0c50cfb097ef9953e6b0150f45c2afc,leggo,RAC,Reforma tributária,Agenda Nacional,agenda-nacional,NA,NA,NA,-
e0c50cfb097ef9953e6b0150f45c2afc,reforma-tributaria,Reforma Tributária,NA,Geral;OSC;Socioambiental;Social,geral;osc;socioambiental;social,https://drive.google.com/drive/folders/1isFpRoT7G5MJaYfRqJgF9ms55VIUMNB5?usp=sharing,NA,NA,"Este painel reúne proposições em tramitação voltadas a mudanças no sistema tributário brasileiro, por exemplo, a reformulação dos impostos e dos seus modos de cobrança."
d8a02979d2829415b1b87a300ce96d86,leggo,RAC,Marco Legal Saneamento Básico,Agenda Nacional,agenda-nacional,https://drive.google.com/file/d/19xwYHWMcC10zTkrMfilzhoSFIZqp_gh4/view?usp=sharing,NA,NA,-
d8a02979d2829415b1b87a300ce96d86,licenciamento-ambiental,Licenciamento Ambiental,NA,"Administração Pública;Cidades e Desenvolvimento Urbano;Energia, Recursos Hídricos e Minerais","administracao-publica;cidades-e-desenvolvimento-urbano;energia,-recursos-hidricos-e-minerais",NA,NA,NA,"Este painel acompanha proposições legislativas em tramitação relacionadas com aprovação de normas de licenciamento ambiental e questões correlatas, como agronegócio e regulamentação fundiária."
d8a02979d2829415b1b87a300ce96d86,socioambiental,Socioambiental,NA,Recursos hídricos,recursos-hidricos,NA,NA,NA,"Este painel acompanha as proposições legislativas em tramitação no Congresso Nacional que têm relação com a agenda do Grupo Temático de Desenvolvimento Socioambiental, da Rede de Advocacy Colaborativo (RAC). O GT é composto por mais de 50 organizações da sociedade civil e atua em temas como Mudanças climáticas, Regularização Fundiária, Licenciamento Ambiental e Reformas Tributária e Administrativa, entre outros."
